,Categorical,Date,Url,Pred
0,economic,04/04/2024,https://vtv.vn/kinh-te/uu-dai-khach-hang-vay-von-phuc-vu-nhu-cau-doi-song-voi-lai-suat-cho-vay-ngan-han-chi-tu-40-nam-20240404152156642.htm,"Thông tin về lãi suất cho vay: Ngân hàng cá nhân có nhu cầu vay tiêu dùng để phục vụ nhu cầu đời sống; mua nhà ở, đất ở, xây mới/cải tạo, sửa chữa nhà ở, cơ sở kinh doanh và các dịch vụ theo quy định của Agribank."
1,economic,04/04/2024,https://vtv.vn/kinh-te/thu-hut-fdi-tang-ca-luong-lan-chat-20240404152001803.htm,"Đầu tư của Chính phủ vào các dự án thu hút vốn đầu tư từ các dự án công nghệ cao, tạo mặt bằng sạch để thu hút các dự án đầu tư, trong đó có nhiều dự án đã được cấp phép mới."
2,economic,04/04/2024,https://vtv.vn/kinh-te/bo-tai-chinh-de-xuat-bai-bo-5-quyet-dinh-ve-giam-tien-thue-dat-20240404145437263.htm,"Bộ Tài chính đề xuất bãi bỏ toàn bộ 06 Quyết định của Thủ tướng Chính phủ về việc giảm tiền thuê đất, thuê mặt nước theo quy định tại pháp luật về kinh doanh bất động sản."
3,economic,04/04/2024,https://vtv.vn/kinh-te/forbes-tat-ca-cac-ty-phu-duoi-30-tuoi-tren-the-gioi-deu-nho-thua-ke-tai-san-20240404143307212.htm,Những tỷ phú giàu nhất thế giới chia sẻ kinh nghiệm của mình khi thừa kế 5.200 tỷ USD trong 20 năm qua để phát triển kinh doanh.
4,economic,04/04/2024,https://vtv.vn/kinh-te/bat-dong-san-kho-lanh-hut-von-dau-tu-20240404141614776.htm,"Nhiều doanh nghiệp cho biết, nhu cầu về một kho lạnh để trữ hàng hoá xuất khẩu tăng cao là một trong những yếu tố giúp ngành hàng xuất khẩu tăng cao."
5,economic,04/04/2024,https://vtv.vn/kinh-te/90-hoat-dong-tren-nen-tang-so-cua-pvoil-se-tro-lai-binh-thuong-cuoi-tuan-nay-20240404112156293.htm,"Các giải pháp cho doanh nghiệp trong bối cảnh hệ thống công nghệ thông tin bị tấn công có chủ đích theo hình thức mã hóa dữ liệu. Các ứng dụng bán hàng như PVOil Easy, B2B sẽ hoạt động trở lại trong hôm nay."
6,economic,04/04/2024,https://vtv.vn/kinh-te/day-nhanh-tien-do-de-luat-dat-dai-co-hieu-luc-tu-thang-7-2024-20240404110221396.htm,"Thứ trưởng Bộ Tài nguyên và Môi trường Lê Minh Ngân cho biết hiện nay, tiến độ xây dựng nghị định, thông tư hướng dẫn để có thể đề xuất Quốc hội cho phép luật Đất đai có hiệu lực từ tháng 1/7/2024."
7,economic,04/04/2024,https://vtv.vn/kinh-te/gia-xang-ron-95-giam-15-dong-moi-lit-20240404153530655.htm,"Chiều 4-5, giá xăng E5RON92 tăng 291 đồng/lít so với ngày thường. Giá xăng từ 15h00 ngày 4-4 tăng 291 đồng/lít tùy thuộc vào từng mặt hàng."
8,economic,04/04/2024,https://vtv.vn/kinh-te/den-thien-duong-ho-hen-grand-world-de-di-khap-the-gian-cung-nguoi-thuong-20240404135554156.htm,"Cùng khám phá những địa điểm quen thuộc như Huế, Đà Nẵng, Hội An, TP.HCM..."
9,economic,04/04/2024,https://vtv.vn/kinh-te/fed-giu-than-trong-ve-tien-trinh-ha-lai-suat-20240404140406299.htm,"Chủ tịch FED Jerome Powell cho biết, hiện nay là thời điểm quan trọng để hạ lãi suất và có thể đưa ra quyết định chính xác về thời điểm hạ lãi suất."
10,economic,04/04/2024,https://vtv.vn/kinh-te/thu-ngan-sach-tu-xuat-nhap-khau-giam-42-20240404101042895.htm,"Trong 3 tháng đầu năm 2024, Tổng cục Hải quan phát hiện, bắt giữ 3.483 vụ việc vi phạm pháp luật hải quan, tổng số tiền thu nộp ngân sách nhà nước khoảng 116,4 tỷ USD."
11,economic,04/04/2024,https://vtv.vn/kinh-te/so-luong-ty-phu-nga-dat-ky-luc-20240404092230614.htm,"Trong năm 2023, số lượng tỷ phú Nga trong danh sách mới nhất của Forbes vừa công bố công bố danh sách mới nhất của tạp chí kinh doanh Forbes (Mỹ)."
12,economic,04/04/2024,https://vtv.vn/kinh-te/gia-vang-the-gioi-xo-do-moi-ky-luc-20240404095954335.htm,"Giá vàng thế giới lập đỉnh mới trong lịch sử, thấp nhất từ đầu năm đến nay. Giá vàng thế giới lập đỉnh mới trong lịch sử."
13,economic,04/04/2024,https://vtv.vn/kinh-te/khoi-ngoai-va-ky-vong-nang-hang-20240403233349287.htm,"Theo nhận định của các chuyên gia, việc áp dụng chính sách tiền tệ của Bộ Tài chính trong việc nâng hạng thị trường chứng khoán vừa qua là mang tính chất quyết định khi nâng hạng thị trường chứng khoán."
14,economic,04/04/2024,https://vtv.vn/kinh-te/sua-doi-quy-dinh-ky-quy-dap-ung-tieu-chi-nang-hang-thi-truong-20240403231701578.htm,"Thủ tướng Phạm Minh Chính - chủ tịch Ủy ban Chứng khoán Nhà nước - cho biết hiện nay đầu tư tổ chức nước ngoài chỉ cần có đủ tiền trước khi đặt lệnh mua chứng khoán, miễn sao chỉ cần có đủ tiền trước khi đặt lệnh mua chứng khoán, nếu không muốn mất giá trị chứng khoán thì phải"
15,economic,04/04/2024,https://vtv.vn/kinh-te/opec-tiep-tuc-giu-nguyen-chinh-sach-san-luong-20240404100504202.htm,Cuộc họp của các bộ trưởng cấp cao của OPEC+ đưa ra các quyết định về chính sách sản lượng dầu trong bối cảnh nhu cầu của thị trường chứng khoán thế giới tăng cao. OPEC cũng đưa ra các biện pháp nhằm đảm bảo sự ổn định chính sách sản lượng của mình.
